model,seed,ihm_auroc,ihm_auprc,decomp_auroc,decomp_auprc,pheno_macro_auroc
local_A,7,0.43743842364532015,0.4165285847930951,nan,nan,nan
local_A,42,0.37145650048875856,0.4744478596951899,nan,nan,nan
local_A,123,0.5725725725725725,0.6403753743761873,nan,nan,nan
local_B,7,nan,nan,0.4098522167487685,0.447921946130327,nan
local_B,42,nan,nan,0.4222873900293255,0.46413677746602905,nan
local_B,123,nan,nan,0.4964964964964965,0.5891647773542901,nan
local_C,7,nan,nan,nan,nan,0.48916227881996477
local_C,42,nan,nan,nan,nan,0.4995224688542853
local_C,123,nan,nan,nan,nan,0.5091801587102901
centralized_oracle,7,0.4652777777777778,0.4110463861581629,0.5647058823529412,0.528927762103738,0.4917797277005879
centralized_oracle,42,0.5595595595595595,0.6940518612224789,0.49755620723362654,0.5045654431232015,0.48251874444237103
centralized_oracle,123,0.40476190476190477,0.38606756756529287,0.6098039215686275,0.6179576257998187,0.5111843911269988
VFL-MTL,7,0.6314760508308895,0.6664175656169506,0.5176470588235293,0.5084859420411552,0.4962300764156231
VFL-MTL,42,0.5215215215215214,0.5209168356689422,0.3422619047619047,0.5008096809301051,0.4805657358389359
VFL-MTL,123,0.5754901960784313,0.5684837662058811,0.5454545454545454,0.3529313536647546,0.5067398009863991
