embed_dim,epsilon_level,seed,val_ihm_auroc,val_decomp_auroc,val_pheno_macro_auroc,eta_comm_approx,r,r_ref
32.0,1.0,42,0.7671328275204841,0.5162527635233021,0.5356080962141732,0.0583,100.0,6.0
32.0,1.0,123,0.7752964736380872,0.4941025321696997,0.5386786623843465,0.0583,100.0,6.0
32.0,1.0,7,0.762352096391002,0.4746724486439709,0.5604153276005478,0.0583,100.0,6.0
32.0,5.0,42,0.779464514796192,0.495388362174032,0.5619427458255288,0.0583,100.0,6.0
32.0,5.0,123,0.7702175195177784,0.4483070791966969,0.5779794568401477,0.0583,100.0,6.0
32.0,5.0,7,0.7792483447790983,0.3912047311731815,0.5654602907460304,0.0583,100.0,6.0
32.0,inf,42,0.7774273518798044,0.697015660941104,0.595537970301302,0.0583,100.0,6.0
32.0,inf,123,0.7945785059527974,0.7163754921652717,0.6131080919556828,0.0583,100.0,6.0
32.0,inf,7,0.7954890024024446,0.7195049128711797,0.6121117198021885,0.0583,100.0,6.0
64.0,1.0,42,0.5085747440113824,0.582289394776422,0.5535926324678232,0.0583,100.0,6.0
64.0,1.0,123,0.4833049271769445,0.4844971265744232,0.5511167217549935,0.0583,100.0,6.0
64.0,1.0,7,0.4828613413037176,0.4118807286228101,0.5316284841452399,0.0583,100.0,6.0
64.0,5.0,42,0.7809310555094614,0.507189152193096,0.5792447636177875,0.0583,100.0,6.0
64.0,5.0,123,0.7817274275184848,0.517678033701945,0.5838990607021086,0.0583,100.0,6.0
64.0,5.0,7,0.7725841438667693,0.4723056911815266,0.5629398409090546,0.0583,100.0,6.0
64.0,inf,42,0.7783411804299076,0.6983382137394343,0.6117261377740794,0.0583,100.0,6.0
64.0,inf,123,0.7684473411504411,0.719355892837565,0.6158890145423669,0.0583,100.0,6.0
64.0,inf,7,0.7813975495733245,0.6988203999910587,0.6111838164301315,0.0583,100.0,6.0
128.0,1.0,42,0.457778538607382,0.4977003015526822,0.546327853898616,0.0583,100.0,6.0
128.0,1.0,123,0.534463081992996,0.4402759638136781,0.5313624592999123,0.0583,100.0,6.0
128.0,1.0,7,0.508160730529704,0.4967194304028543,0.5507378702471479,0.0583,100.0,6.0
128.0,5.0,42,0.761928919633069,0.5018505094888507,0.566841743385972,0.0583,100.0,6.0
128.0,5.0,123,0.7886798551202723,0.6660381214534563,0.5638647998097386,0.0583,100.0,6.0
128.0,5.0,7,0.7784669672221278,0.504052812699913,0.5482435316495616,0.0583,100.0,6.0
128.0,inf,42,0.7965569405986451,0.6919692039456248,0.6132229648370079,0.0583,100.0,6.0
128.0,inf,123,0.7897602886931836,0.7132364916000601,0.6172178258313503,0.0583,100.0,6.0
128.0,inf,7,0.768326552508905,0.7022010258964886,0.5830591890148316,0.0583,100.0,6.0
