test,component,r2,weight,gate,w1,w2,w3,spearman_rho,p,note,all_tasks_mean,ihm_only_mean
1_variance_contribution,delta_m_z,0.9814,0.7,ok,,,,,,,,
1_variance_contribution,eta_priv_z,0.7299,0.2,ok,,,,,,,,
1_variance_contribution,eta_comm_z,0.1102,0.1,ok,,,,,,,,
1_variance_contribution,r2_ordering (delta_m_z > eta_priv_z > eta_comm_z),,,ok,,,,,,,,
2_weight_sensitivity,,,,ok,0.5,0.3333,0.1667,0.9902,0.0,,,
2_weight_sensitivity,,,,ok,0.6,0.2667,0.1333,0.998,0.0,,,
2_weight_sensitivity,,,,ok,0.7,0.2,0.1,1.0,0.0,,,
2_weight_sensitivity,,,,ok,0.8,0.1333,0.0667,0.9987,0.0,,,
3a_eps_monotonicity,,,,ok,,,,1.0,0.0,"Spearman r(ε_level, mean PCMU per ε); must be > 0",,
3b_task_config_ordering,,,,ok,,,,,,all_tasks PCMU > ihm_only PCMU at ε=∞ (Phase 1c: 3-task VFL-MTL > single-task),-0.7553,-0.8159
